,Country,GDP (Billion USD)
0,United States,26854.6
1,China,19373.59
2,Japan,4409.74
3,Germany,4308.85
4,India,3736.88
5,United Kingdom,3158.94
6,France,2923.49
7,Italy,2169.74
8,Canada,2089.67
9,Brazil,2081.24
